구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치년도,위도,경도,데이터기준일자
공중화장실,경신고등학교,"대구광역시 수성구 달구벌대로504길 34, (범어동)",대구광역시 수성구 범어동 100-5,N,65,140,2,1,0,0,3,1,0,경신고등학교,053-760-0077,09:00~18:00,Apr-18,35.8554457,128.6376616,2019-09-10
공중화장실,경신중학교,"대구광역시 수성구 달구벌대로504길 34, (범어동)",대구광역시 수성구 범어동 100-5,N,47,83,1,1,0,0,6,1,0,경신중학교,053-760-0113,07:00~20:00,Nov-92,35.8554457,128.6376616,2019-09-10
공중화장실,대구경동초등학교,"대구광역시 수성구 청호로76길 12, (범어동)",대구광역시 수성구 범어동 89,N,43,70,6,10,0,0,73,1,0,대구경동초등학교,053-232-2976,09:00~18:00,Jan-83,35.8521724,128.639442,2019-09-10
공중화장실,정화중학교,"대구광역시 수성구 청호로84길 123, (범어동)",대구광역시 수성구 범어동 산105-1,N,36,64,2,2,0,0,83,2,0,정화중학교,053-740-1876,09:00~18:00,Mar-18,35.8502489,128.6411603,2019-09-10
공중화장실,정화여자고등학교,"대구광역시 수성구 청호로84길 123, (범어동)",대구광역시 수성구 범어동 산105-1,N,85,79,3,2,0,0,97,2,0,정화여자고등학교,053-740-1700,09:00~18:00,Apr-18,35.8502489,128.6411603,2019-09-10
공중화장실,대공원시장,"대구광역시 수성구 범어로19길 11, (범어동, 대공원시장)",대구광역시 수성구 범어동 204-1(대공원시장),N,1,3,0,0,0,0,1,0,0,대공원시장,053-755-7441,09:00~18:00,Oct-84,35.8576894,128.6351669,2019-09-10
공중화장실,부광빌딩,"대구광역시 수성구 달구벌대로 2500, (범어동)",대구광역시 수성구 범어동 205-2,N,11,10,0,0,0,0,10,0,0,부광빌딩,053-767-0320,09:00~24:00,Nov-92,35.85841543,128.6361238,2019-09-10
공중화장실,대아빌딩,"대구광역시 수성구 달구벌대로 2532, (범어동)",대구광역시 수성구 범어동 212-1,N,29,29,0,0,0,0,19,0,0,대아빌딩,053-765-5200,09:00~18:00,Oct-92,35.85841378,128.6398219,2019-09-10
공중화장실,골드타워,"대구광역시 수성구 달구벌대로 2486, (범어동)",대구광역시 수성구 범어동 198-2,N,13,13,2,0,0,0,20,1,0,골드타워,053-741-8400,09:00~18:00,Oct-18,35.85842411,128.6345035,2019-09-10
공중화장실,KB손해보험,"대구광역시 수성구 달구벌대로 2397, (범어동)",대구광역시 수성구 범어동 41-3,N,70,83,1,0,0,0,89,1,0,KB손해보험,053-669-7200,09:00~18:00,Dec-18,35.85964661,128.6248179,2019-09-10
개방화장실,상동게이트볼장,,대구광역시 수성구 상동 667-42,N,1,1,0,0,0,0,1,0,0,상동게이트볼장,053-666-2183,09:00~18:00,Jan-00,35.83098483,128.6072045,2019-09-10
공중화장실,상동방천주유소,"대구광역시 수성구 신천동로 85, (상동)",대구광역시 수성구 상동 208,N,1,2,0,0,0,0,1,0,0,상동방천주유소,053-768-5100,06:00~24:00,Sep-94,35.8326615,128.6071308,2019-09-10
공중화장실,상동LPG충전소,"대구광역시 수성구 신천동로 51, (상동)",대구광역시 수성구 상동 675-11,N,2,2,0,0,0,0,1,0,0,상동LPG충전소,053-764-5050,24시간,Nov-18,35.82943225,128.6077869,2019-09-10
개방화장실,버디클럽오일뱅크,"대구광역시 수성구 무학로 12, (상동)",대구광역시 수성구 상동 611-8,N,1,1,0,0,0,0,1,0,0,버디클럽오일뱅크,053-768-2600,24시간,Oct-94,35.82884447,128.6098113,2019-09-10
공중화장실,동도중학교,"대구광역시 수성구 청호로 350, (범어동)",대구광역시 수성구 범어동 336,N,8,15,0,0,0,0,38,0,0,동도중학교,053-232-7200,09:00~18:00,Apr-84,35.84942833,128.6394899,2019-09-10
개방화장실,상동주유소,"대구광역시 수성구 수성로 93, (상동)",대구광역시 수성구 상동 282-2,N,1,1,0,0,0,0,1,0,0,상동주유소,053-767-5544,07:00~22:00,Aug-92,35.83378563,128.6112106,2019-09-10
개방화장실,수성주유소,"대구광역시 수성구 신천동로 10, (상동)",대구광역시 수성구 상동 623-1,Y,1,1,0,0,0,0,0,0,0,수성주유소,053-764-3030,05:00~24:00,Apr-93,35.82601643,128.6094179,2019-09-10
개방화장실,삼보주유소,"대구광역시 수성구 무학로 61, (상동)",대구광역시 수성구 상동 409-2,N,1,1,0,0,0,0,2,0,0,삼보주유소,053-764-3551,06:00~23:30,Mar-95,35.8300259,128.6153099,2019-09-10
공중화장실,수성초등학교,"대구광역시 수성구 상화로5길 40, (상동)",대구광역시 수성구 상동 89-2,N,21,36,5,8,0,0,42,4,0,수성초등학교,053-232-0707,08:30~16:30,Nov-97,35.836837,128.6102265,2019-09-10
공중화장실,덕화중학교,"대구광역시 수성구 들안로9길 36, (상동)",대구광역시 수성구 상동 328-1,N,37,47,4,0,0,0,50,4,0,덕화중학교,053-232-7835,07:30~18:00,Dec-82,35.8326254,128.6149359,2019-09-10
공중화장실,한국전파진흥원,"대구광역시 수성구 청수로 66, (상동)",대구광역시 수성구 상동 6-12,N,12,18,0,0,0,0,6,0,0,한국전파진흥원,053-766-9001,07:00~18:00,Mar-96,35.84014577,128.6153663,2019-09-10
공중화장실,동성초등학교,"대구광역시 수성구 수성로 311, (수성동1가)",대구광역시 수성구 수성동1가 282,N,33,80,3,0,0,0,61,3,0,동성초등학교,053-232-1506,09:00~18:00,Jul-68,35.8531878,128.6125316,2019-09-10
공중화장실,신명여자중학교,"대구광역시 수성구 신천동로 364, (수성동1가)",대구광역시 수성구 수성동1가 96-16,N,6,13,2,0,0,0,49,4,0,신명여자중학교,053-232-9296,09:00~18:00,Jan-98,35.8575118,128.6092622,2019-09-10
공중화장실,대구남산고등학교,"대구광역시 수성구 신천동로 364, (수성동1가)",대구광역시 수성구 수성동1가 96-16,N,43,47,4,2,0,0,72,8,0,대구남산고등학교,053-235-6563,09:00~18:00,Nov-88,35.8575118,128.6092622,2019-09-10
공중화장실,수성현대시장,"대구광역시 수성구 신천동로 280, (수성동1가, 수성현대)",대구광역시 수성구 수성동1가 649-76 수성현대,N,3,2,0,0,0,0,4,0,0,수성현대시장,,09:00~18:00,Jan-00,35.84954972,128.6094608,2019-09-10
공중화장실,대봉교주유소,"대구광역시 수성구 명덕로 414, (수성동2가)",대구광역시 수성구 수성동2가 173,N,2,2,0,0,0,0,1,0,0,대봉교주유소,053-764-5188,24시간,Dec-95,35.85410708,128.6154079,2019-09-10
공중화장실,동중학교,"대구광역시 수성구 수성로76길 33, (수성동2가)",대구광역시 수성구 수성동2가 119-4,N,18,36,5,0,0,0,37,3,0,동중학교,053-755-2491,09:00~18:00,Oct-73,35.85856,128.6161581,2019-09-10
공중화장실,동일초등학교,"대구광역시 수성구 들안로 311, (수성동2가)",대구광역시 수성구 수성동2가 17-1,N,23,46,5,2,0,0,50,5,0,동일초등학교,053-232-3207,09:00~18:00,Mar-83,35.8582007,128.6169452,2019-09-10
공중화장실,태백시장,"대구광역시 수성구 들안로 281, (수성동2가)",대구광역시 수성구 수성동2가 39-4,N,3,0,0,0,0,0,3,0,0,태백시장,053-754-7027,09:00~18:00,Dec-74,35.85519075,128.616756,2019-09-10
공중화장실,동성시장,,대구광역시 수성구 수성동2가 39-1,N,2,1,0,0,0,0,2,0,0,동성시장,,09:00~18:00,May-75,35.85591886,128.6171381,2019-09-10
공중화장실,교보생명빌딩,"대구광역시 수성구 달구벌대로 2330, (수성동2가)",대구광역시 수성구 수성동2가 1,N,21,36,0,0,0,0,18,0,0,교보생명빌딩,053-755-2221,09:00~18:00,Dec-89,35.8593174,128.6169566,2019-09-10
공중화장실,광덕빌딩,"대구광역시 수성구 명덕로 411, (수성동2가)",대구광역시 수성구 수성동2가 168-4,N,20,20,0,0,0,0,20,0,0,광덕빌딩,053-746-2727,09:00~18:00,Oct-91,35.85468561,128.6150803,2019-09-10
공중화장실,대구은행본점,"대구광역시 수성구 달구벌대로 2310, (수성동2가)",대구광역시 수성구 수성동2가 118,N,121,132,2,0,0,0,122,2,0,대구은행본점,053-756-2001,09:00~18:00,May-85,35.8590769,128.6150194,2019-09-10
공중화장실,아조빌딩,"대구광역시 수성구 들안로 274, (수성동3가)",대구광역시 수성구 수성동3가 330,N,17,17,1,1,0,0,16,1,0,아조빌딩,053-761-4601,08:00~22:00,Aug-98,35.85448364,128.6175477,2019-09-10
개방화장실,더좋은병원,"대구광역시 수성구 명덕로 443, (수성동3가)",대구광역시 수성구 수성동3가 327,N,12,8,1,0,0,0,14,0,0,의료법인 세청의료재단,053-740-1000,09:00~18:00,Nov-00,35.8545433,128.6185273,2019-09-10
개방화장실,신천주유소,"대구광역시 수성구 들안로 375, (수성동4가)",대구광역시 수성구 수성동4가 1026-1,N,1,1,0,0,0,0,1,0,0,신천주유소,053-741-2277,06:00~24:00,Jan-94,35.86372155,128.6176748,2019-09-10
공중화장실,대구중앙고등학교,"대구광역시 수성구 신천동로 496, (수성동4가)",대구광역시 수성구 수성동4가 1145-1,N,20,25,0,0,0,0,35,0,0,대구중앙고등학교,053-720-8040,09:00~18:00,May-18,35.8669272,128.6164609,2019-09-10
공중화장실,수성하이츠쇼핑몰,"대구광역시 수성구 수성로 393, (수성동4가, 수성하이츠)",대구광역시 수성구 수성동4가 1090-8 수성하이츠,N,13,13,0,0,0,0,15,0,0,수성하이츠쇼핑몰관리사무소,053-743-9192,07:00~24:00,Jan-00,35.8608134,128.6135071,2019-09-10
