날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2024-07-01,114,25.4,22.3,30
2024-07-02,114,23.4,21.5,26.4
2024-07-03,114,25.1,24.1,26.9
2024-07-04,114,27.2,23.6,30.2
2024-07-05,114,24.6,22.1,29.3
2024-07-06,114,26,21.2,31.4
2024-07-07,114,23.8,22.4,25.6
2024-07-08,114,23.8,22.3,25.3
2024-07-09,114,23.7,22.3,26.1
2024-07-10,114,25.5,21.4,31.9
2024-07-11,114,26.3,23.1,30.7
2024-07-12,114,26.1,23.5,30.3
2024-07-13,114,27.4,22.5,33.1
2024-07-14,114,26.5,22.8,30.8
2024-07-15,114,26.7,23,30.8
2024-07-16,114,26.1,23.3,30.9
2024-07-17,114,27,23.1,31
2024-07-18,114,25.3,23,28.2
2024-07-19,114,27,23.3,31.3
2024-07-20,114,27,23.9,30.3
2024-07-21,114,27.4,24.5,30.7
2024-07-22,114,28.6,25.7,30.9
2024-07-23,114,26.3,24.7,29.3
2024-07-24,114,26.2,22.1,31.6
2024-07-25,114,28.8,25.3,33.2
2024-07-26,114,29.4,24.8,33.9
2024-07-27,114,29.1,26.5,32.8
2024-07-28,114,28.8,25.2,33.1
2024-07-29,114,27.8,26.8,29.4
2024-07-30,114,27.4,25.8,30.1
2024-07-31,114,29.4,25.8,33.4
