青沥备开,盔林矫 醚拌,巩阜谰,家檬搁,龋历搁,瘤沥搁,何沸搁,蓖贰搁,蕊诀搁,魄何搁,脚覆搁,吝居悼,盔牢悼,俺款悼,疙符1悼,疙符2悼,窜备悼,老魂悼,切己悼,窜拌悼,快魂悼,怕厘1悼,怕厘2悼,豪魂悼,青备悼,公角悼,馆邦包汲悼
0技,"1,828",66,22,1,389,0,1,25,15,3,4,10,27,11,93,186,27,9,176,45,77,97,14,49,168,313
1技,"2,124",60,13,6,490,2,4,29,25,5,5,8,34,19,107,215,32,10,189,47,79,107,19,35,206,378
2技,"2,084",67,28,6,468,1,2,29,26,3,2,5,44,25,83,167,23,12,181,50,100,96,18,34,213,401
3技,"2,254",68,25,6,457,3,6,46,29,8,1,11,44,20,103,209,24,7,201,52,69,92,17,48,241,467
4技,"2,394",82,25,10,485,0,3,29,28,2,2,9,45,14,90,245,37,6,186,69,83,112,12,65,284,471
5技,"2,431",97,27,10,453,3,5,43,28,8,5,10,31,33,105,238,26,5,185,80,87,119,26,74,260,473
6技,"2,617",79,27,9,487,2,2,35,31,6,2,12,55,17,112,284,20,10,181,96,96,147,14,67,295,531
7技,"2,923",90,26,8,493,2,4,52,49,8,7,18,43,35,109,305,33,11,181,94,118,150,21,72,398,596
8技,"3,086",91,26,12,528,3,2,53,45,8,5,24,65,54,144,345,37,10,192,111,99,152,32,68,376,604
9技,"3,207",91,28,14,518,3,4,62,34,12,3,14,73,41,145,337,39,12,180,116,117,202,26,71,420,645
10技,"3,138",134,27,9,491,3,8,52,42,9,4,14,63,49,132,359,43,20,179,104,106,183,39,61,428,579
11技,"3,363",149,31,8,458,5,0,48,46,12,0,21,84,54,139,409,50,20,216,110,124,192,29,72,441,645
12技,"3,600",146,35,11,437,8,5,67,56,9,5,22,106,63,157,448,47,22,211,129,149,214,35,75,483,660
13技,"3,764",133,39,13,436,8,10,71,59,12,7,31,115,64,204,466,54,24,212,125,107,245,47,96,528,658
14技,"3,460",148,43,15,345,11,4,66,61,10,10,18,94,64,170,477,37,30,199,107,109,225,43,101,477,596
15技,"3,467",135,31,14,270,1,8,78,67,9,6,26,114,52,203,471,62,18,209,101,110,254,59,92,448,629
16技,"3,675",158,43,12,304,7,7,71,70,18,8,30,143,79,211,535,45,22,207,118,118,239,61,92,492,585
17技,"3,506",151,53,9,225,7,5,65,48,12,7,30,148,70,177,485,50,25,237,104,107,256,57,107,496,575
18技,"3,233",160,38,11,167,7,6,67,69,7,10,28,91,68,182,475,52,27,234,105,111,221,54,98,407,538
19技,"3,189",136,43,14,155,13,9,90,57,11,10,26,136,72,186,474,51,19,211,122,99,219,56,94,375,511
20技,"3,375",152,55,16,160,11,10,112,58,13,7,31,127,57,185,477,65,31,236,185,124,202,67,101,389,504
21技,"3,388",159,64,12,174,20,5,150,62,22,6,24,118,69,195,479,88,35,237,200,134,201,51,73,393,417
22技,"3,643",195,79,22,140,27,4,204,56,13,8,29,124,85,199,480,100,36,282,216,99,221,70,86,414,454
