기관별,계,남,여
총인구,"361,923","179,239","182,684"
문막읍," 17,395 "," 8,874 "," 8,521 "
소초면," 8,161 "," 4,356 "," 3,805 "
호저면," 3,408 "," 1,794 "," 1,614 "
지정면," 31,919 "," 15,730 "," 16,189 "
부론면," 2,144 "," 1,099 "," 1,045 "
귀래면," 2,094 "," 1,090 "," 1,004 "
흥업면," 9,569 "," 5,075 "," 4,494 "
판부면," 7,070 "," 3,762 "," 3,308 "
신림면," 3,576 "," 1,860 "," 1,716 "
중앙동," 2,301 "," 1,193 "," 1,108 "
원인동," 3,851 "," 1,818 "," 2,033 "
개운동," 12,066 "," 5,792 "," 6,274 "
명륜1동," 7,793 "," 3,672 "," 4,121 "
명륜2동," 18,462 "," 8,898 "," 9,564 "
단구동," 42,739 "," 20,964 "," 21,775 "
일산동," 8,271 "," 3,926 "," 4,345 "
학성동," 4,255 "," 2,077 "," 2,178 "
단계동," 27,627 "," 13,431 "," 14,196 "
우산동," 13,273 "," 7,040 "," 6,233 "
태장1동," 12,638 "," 6,309 "," 6,329 "
태장2동," 23,789 "," 11,916 "," 11,873 "
봉산동," 7,392 "," 3,611 "," 3,781 "
행구동," 8,665 "," 4,262 "," 4,403 "
무실동," 36,367 "," 17,823 "," 18,544 "
반곡관설동," 47,098 "," 22,867 "," 24,231 "
